INDEX,ESPÉCIE/LINHAGEM,% DMSO,% SFB,% MEIO DE CULTURA,% OUTRO CRIOPROTETOR,% SOLUÇÃO TOTAL ,OUTRO CRIOPROTETOR,% ANTES DO CONGELAMENTO,% APÓS O DESCONGELAMENTO,% QUEDA DA VIABILIDADE, TREHALOSE, GLICEROL,SACAROSE,GLICOSE,MALTOSE,LACTOSE,RAFFINOSE,MALTOTRIOSE,MALTOTETRAOSE,MALTOPENTAOSE,MALTOEXAOSE,MALTOHEPTAOSE,ϒ-CYCLODEXTRIN,DEXTRAN ,Di-rhamnolipids,TIPO DE MEIO DE CULTURA,TEMPO DE AVALIAÇÃO DA VIABILIDADE,TESTE DE VIABILIDADE ,REFERÊNCIA
118,HepG2,2%,98%,0%,0%,100%,x,"97,48%","97,33%","0,15%",0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0%,6,4,2,8
119,HepG2,2%,98%,0%,0%,100%,x,"97,48%","93,33%","4,15%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6,4,2,8
120,HepG2,2%,98%,0%,0%,100%,x,"97,48%","92,75%","4,73%",0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,0%,0%,6,4,2,8
121,HepG2,2%,98%,0%,0%,100%,x,"97,48%","94,66%","2,82%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6,4,2,8
122,HepG2,2%,98%,0%,0%,100%,x,"97,48%","95,83%","1,65%",0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,0%,0%,6,4,2,8
123,HepG2,2%,98%,0%,0%,100%,x,"97,48%","97,10%","0,38%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6,4,2,8
124,HepG2,2%,98%,0%,0%,100%,x,"97,48%","95,00%","2,48%",0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,0%,0%,6,4,2,8
125,HepG2,2%,98%,0%,0%,100%,x,"97,48%","94,80%","2,68%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6,4,2,8
126,HepG2,2%,98%,0%,0%,100%,x,"97,48%","96,00%","1,48%",0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,0%,0%,6,4,2,8
127,HepG2,2%,98%,0%,0%,100%,x,"97,48%","95,25%","2,23%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6,4,2,8
128,HepG2,5%,95%,0%,0%,100%,x,"97,48%","96,80%","0,68%",0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,0%,0%,6,4,2,8
129,HepG2,5%,95%,0%,0%,100%,x,"97,48%","94,45%","3,03%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6,4,2,8
130,HepG2,5%,95%,0%,0%,100%,x,"97,48%","96,00%","1,48%",0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,0%,0%,6,4,2,8
131,HepG2,5%,95%,0%,0%,100%,x,"97,48%","95,07%","2,41%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6,4,2,8
132,HepG2,5%,95%,0%,0%,100%,x,"97,48%","90,00%","7,48%",0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,0%,0%,6,4,2,8
133,HepG2,5%,95%,0%,0%,100%,x,"97,48%","93,00%","4,48%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6,4,2,8
134,HepG2,5%,95%,0%,0%,100%,x,"97,48%","89,71%","7,77%",0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,0%,0%,6,4,2,8
135,HepG2,5%,95%,0%,0%,100%,x,"97,48%","96,70%","0,78%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6,4,2,8
