INDEX,ESPÉCIE/LINHAGEM,% DMSO,% SFB,% MEIO DE CULTURA,% OUTRO CRIOPROTETOR,% SOLUÇÃO TOTAL ,OUTRO CRIOPROTETOR,% ANTES DO CONGELAMENTO,% APÓS O DESCONGELAMENTO,% QUEDA DA VIABILIDADE, TREHALOSE, GLICEROL,SACAROSE,GLICOSE,MALTOSE,LACTOSE,RAFFINOSE,MALTOTRIOSE,MALTOTETRAOSE,MALTOPENTAOSE,MALTOEXAOSE,MALTOHEPTAOSE,ϒ-CYCLODEXTRIN,DEXTRAN ,Di-rhamnolipids,TIPO DE MEIO DE CULTURA,TEMPO DE AVALIAÇÃO DA VIABILIDADE,TESTE DE VIABILIDADE ,REFERÊNCIA
252,Camundongo,5%,10%,85%,0%,100%,x,"86,50%","45,45%","41,05%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,7,4,2,8
253,Camundongo,5%,10%,85%,0%,100%,x,"86,50%","47,36%","39,14%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,7,4,2,8
254,Camundongo,5%,10%,85%,0%,100%,x,"86,50%","44,82%","41,68%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,7,4,2,8
255,Camundongo,10%,10%,80%,0%,100%,x,"86,50%","51,64%","34,86%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,7,4,2,8
256,Camundongo,10%,10%,80%,0%,100%,x,"86,50%","49,87%","36,63%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,7,4,2,8
257,Camundongo,10%,10%,80%,0%,100%,x,"86,50%","55,28%","31,22%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,7,4,2,8
258,Camundongo,20%,10%,70%,0%,100%,x,"86,50%","38,94%","47,56%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,7,4,2,8
259,Camundongo,20%,10%,70%,0%,100%,x,"86,50%","45,69%","40,81%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,7,4,2,8
260,Camundongo,50%,10%,40%,0%,100%,x,"92,80%","0,84%","91,96%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,7,4,2,8
261,Camundongo,50%,10%,40%,0%,100%,x,"92,80%",0%,"92,80%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,7,4,2,8
262,Camundongo,30%,10%,60%,0%,100%,x,"92,80%","2,89%","89,91%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,7,4,2,8
263,Camundongo,30%,10%,60%,0%,100%,x,"92,80%","1,20%","91,60%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,7,4,2,8
264,Camundongo,"2,5%","77,50%",0%,20%,100%,Trealose,"96,30%","81,50%","14,80%",20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6,4,2,8
265,Camundongo,"2,5%","77,50%",0%,20%,100%,Trealose,"96,30%","80,26%","16,04%",20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6,4,2,8
266,Camundongo,"2,5%","67,50%",0%,30%,100%,Trealose,"96,30%","79,10%","17,20%",30%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6,4,2,8
267,Camundongo,"2,5%","67,50%",0%,30%,100%,Trealose,"96,30%","83,45%","12,85%",30%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6,4,2,8
268,Camundongo,"2,5%","47,50%",0%,50%,100%,Trealose,"96,30%","47,31%","48,99%",50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6,4,2,8
269,Camundongo,"2,5%","47,50%",0%,50%,100%,Trealose,"96,30%","36,54%","59,76%",50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6,4,2,8
270,Camundongo,0%,0%,0%,100%,100%,Trealose,"96,30%","0,0%","96,30%",100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6,4,2,8
271,Camundongo,0%,0%,0%,100%,100%,Trealose,"96,30%","0,0%","96,30%",100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6,4,2,8
272,Camundongo,0%,100%,0%,0%,100%,x,80%,"0,0%","80,00%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6,4,2,8
273,Camundongo,0%,100%,0%,0%,100%,x,80%,"0,0%","80,00%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6,4,2,8
274,Camundongo,0%,10%,90%,0%,100%,x,80%,"1,27%","78,73%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,7,4,2,8
275,Camundongo,0%,10%,90%,0%,100%,x,80%,"0,85%","79,15%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,7,4,2,8
276,Camundongo,0%,80%,0%,20%,100%,Trealose,"89,45%","67,53%","21,92%",20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6,4,2,8
277,Camundongo,0%,80%,0%,20%,100%,Trealose,"89,45%","70,88%","18,57%",20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6,4,2,8
278,Camundongo,0%,80%,0%,20%,100%,Trealose,"89,45%","69,51%","19,94%",20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6,4,2,8
279,Camundongo,0%,50%,0%,50%,100%,Trealose,"89,45%","30,20%","59,25%",50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6,4,2,8
280,Camundongo,0%,50%,0%,50%,100%,Trealose,"89,45%","22,68%","66,77%",50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6,4,2,8
281,Camundongo,0%,0%,0%,100%,100%,Trealose,92%,0%,"92,00%",100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6,4,2,8
282,Camundongo,0%,0%,0%,100%,100%,Trealose,92%,0%,"92,00%",100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6,4,2,8
