INDEX,ESPÉCIE/LINHAGEM,% DMSO,% SFB,% MEIO DE CULTURA,% OUTRO CRIOPROTETOR,% SOLUÇÃO TOTAL ,OUTRO CRIOPROTETOR,% ANTES DO CONGELAMENTO,% APÓS O DESCONGELAMENTO,% QUEDA DA VIABILIDADE, TREHALOSE, GLICEROL,SACAROSE,GLICOSE,MALTOSE,LACTOSE,RAFFINOSE,MALTOTRIOSE,MALTOTETRAOSE,MALTOPENTAOSE,MALTOEXAOSE,MALTOHEPTAOSE,ϒ-CYCLODEXTRIN,DEXTRAN ,Di-rhamnolipids,TIPO DE MEIO DE CULTURA,TEMPO DE AVALIAÇÃO DA VIABILIDADE,TESTE DE VIABILIDADE ,REFERÊNCIA
1,RATO,10%,40%,50%,0%,100%,x,"90,00%","80,00%","10,00%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,2,1,1
2,RATO,0%,0%,90%,10%,100%,Sacarose,"85,00%","0,00%","85,00%",0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,1,1,2
3,RATO,0%,0%,80%,20%,100%,Sacarose,"85,00%","0,00%","85,00%",0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,1,1,2
4,RATO,0%,0%,70%,30%,100%,Sacarose,"85,00%","0,00%","85,00%",0%,0%,30%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,1,1,2
5,RATO,0%,0%,60%,40%,100%,Sacarose,"85,00%","0,00%","85,00%",0%,0%,40%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,1,1,2
6,RATO,0%,10%,90%,0%,100%,x,"85,00%","10,00%","75,00%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,1,1,2
7,RATO,0%,20%,80%,0%,100%,x,"85,00%","15,00%","70,00%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,1,1,2
8,RATO,0%,30%,70%,0%,100%,x,"85,00%","34,00%","51,00%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,1,1,2
9,RATO,0%,40%,60%,0%,100%,x,"85,00%","36,00%","49,00%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,1,1,2
10,RATO,0%,50%,50%,0%,100%,x,"85,00%","0,00%","85,00%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,1,1,2
11,RATO,0%,60%,40%,0%,100%,x,"85,00%","32,00%","53,00%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,1,1,2
12,RATO,0%,70%,30%,0%,100%,x,"85,00%","0,00%","85,00%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,1,1,2
13,RATO,0%,80%,20%,0%,100%,x,"85,00%","0,00%","85,00%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,1,1,2
14,RATO,0%,90%,10%,0%,100%,x,"85,00%","36,00%","49,00%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,1,1,2
15,RATO,0%,30%,65%,5%,100%,Glicerol,"85,00%","5,00%","80,00%",0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,1,1,2
16,RATO,0%,30%,60%,10%,100%,Glicerol,"85,00%","45,00%","40,00%",0%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,1,1,2
17,RATO,0%,30%,55%,15%,100%,Glicerol,"85,00%","0,00%","85,00%",0%,15%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,1,1,2
18,RATO,0%,30%,50%,20%,100%,Glicerol,"85,00%","18,00%","67,00%",0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,1,1,2
19,RATO,0%,30%,45%,25%,100%,Glicerol,"85,00%","0,00%","85,00%",0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,1,1,2
20,RATO,0%,30%,40%,30%,100%,Glicerol,"85,00%","23,00%","62,00%",0%,30%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,1,1,2
21,RATO,0%,30%,35%,35%,100%,Glicerol,"85,00%","0,00%","85,00%",0%,35%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,1,1,2
22,RATO,5%,30%,65%,0%,100%,x,"85,00%","19,00%","66,00%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,1,1,2
23,RATO,10%,30%,60%,0%,100%,x,"85,00%","78,00%","7,00%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,1,1,2
24,RATO,15%,30%,55%,0%,100%,x,"85,00%","24,00%","61,00%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,1,1,2
25,RATO,20%,30%,50%,0%,100%,x,"85,00%","24,00%","61,00%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,1,1,2
26,RATO,25%,30%,45%,0%,100%,x,"85,00%","0,00%","85,00%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,1,1,2
27,RATO,5%,0%,95%,0%,100%,x,"86,64%","66,65%","19,99%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,5,2,3
28,RATO,5%,0%,95%,0%,100%,x,"87,00%","67,27%","19,73%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,5,2,3
29,RATO,5%,0%,95%,0%,100%,x,"88,14%","75,40%","12,74%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,5,2,3
30,RATO,5%,0%,95%,0%,100%,x,"90,00%","78,30%","11,70%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,5,2,3
31,RATO,0%,100%,0%,0%,100%,x,"90,64%","27,23%","63,41%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,5,2,3
32,RATO,0%,100%,0%,0%,100%,x,"93,40%","25,03%","68,37%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,5,2,3
33,RATO,0%,100%,0%,0%,100%,x,"88,14%","25,00%","63,14%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,5,2,3
34,RATO,0%,100%,0%,0%,100%,x,"90,00%","20,13%","69,87%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,5,2,3
35,RATO,5%,10%,65%,20%,100%,Trealose,"90,64%","60,68%","29,96%",20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,5,2,3
36,RATO,5%,10%,55%,30%,100%,Trealose,"90,64%","58,18%","32,46%",30%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,5,2,3
37,RATO,5%,10%,45%,40%,100%,Trealose,"90,64%","56,23%","34,41%",40%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,5,2,3
38,RATO,0%,10%,70%,20%,100%,Trealose,"90,64%","85,59%","5,05%",20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,5,2,3
39,RATO,0%,10%,60%,30%,100%,Trealose,"90,64%","67,39%","23,25%",30%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,5,2,3
40,RATO,0%,10%,50%,40%,100%,Trealose,"90,64%","66,07%","24,57%",40%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,5,2,3
41,RATO,5%,10%,65%,20%,100%,Sacarose,"88,14%","69,18%","18,96%",0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,5,2,3
42,RATO,5%,10%,55%,30%,100%,Sacarose,"88,14%","67,50%","20,64%",0%,0%,30%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,5,2,3
43,RATO,5%,10%,45%,40%,100%,Sacarose,"88,14%","68,12%","20,02%",0%,0%,40%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,5,2,3
44,RATO,0%,10%,70%,20%,100%,Sacarose,"88,14%","36,70%","51,44%",0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,5,2,3
45,RATO,0%,10%,60%,30%,100%,Sacarose,"88,14%","43,50%","44,64%",0%,0%,30%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,5,2,3
46,RATO,0%,10%,50%,40%,100%,Sacarose,"88,14%","40,20%","47,94%",0%,0%,40%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,5,2,3
47,RATO,0%,10%,85%,5%,100%,Glicerol,"90,00%","34,00%","56,00%",0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,5,2,3
48,RATO,0%,10%,83%,7%,100%,Glicerol,"90,00%","31,70%","58,30%",0%,7%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,5,2,3
49,RATO,0%,10%,80%,10%,100%,Glicerol,"90,00%","34,36%","55,64%",0%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,5,2,3
50,RATO,0%,10%,75%,15%,100%,Glicerol,"90,00%","29,10%","60,90%",0%,15%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,5,2,3
51,RATO,0%,10%,70%,20%,100%,Glicerol,"90,00%","30,47%","59,53%",0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,5,2,3
52,RATO,5%,10%,65%,20%,100%,Glicose,"93,14%","64,75%","28,39%",0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,5,2,3
53,RATO,5%,10%,55%,30%,100%,Glicose,"93,14%","55,75%","37,39%",0%,0%,0%,30%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,5,2,3
54,RATO,5%,10%,45%,40%,100%,Glicose,"93,14%","54,12%","39,02%",0%,0%,0%,40%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,5,2,3
55,RATO,0%,10%,70%,20%,100%,Glicose,"93,14%","45,37%","47,77%",0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,5,2,3
56,RATO,0%,10%,60%,30%,100%,Glicose,"93,14%","39,62%","53,52%",0%,0%,0%,30%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,5,2,3
57,RATO,0%,10%,50%,40%,100%,Glicose,"93,14%","38,50%","54,64%",0%,0%,0%,40%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,5,2,3
58,RATO,15%,0%,85%,0%,100%,x,85%,53%,32%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,4,2,4
59,RATO,15%,0%,85%,0%,100%,x,85%,24%,61%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,1,2,4
60,RATO,15%,0%,85%,0%,100%,x,85%,23%,62%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,3,2,4
61,RATO,15%,85%,0%,0%,100%,x,85%,"55,90%","29,1%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3,4,2,4
62,RATO,15%,85%,0%,0%,100%,x,85%,20%,65%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3,1,2,4
63,RATO,15%,85%,0%,0%,100%,x,85%,21%,64%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3,3,2,4
64,RATO,15%,0%,85%,0%,100%,x,85%,"64,90%","20,1%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3,4,2,4
65,RATO,15%,0%,85%,0%,100%,x,85%,31%,54%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3,1,2,4
66,RATO,15%,0%,85%,0%,100%,x,85%,36%,49%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3,3,2,4
67,RATO,15%,0%,65%,20%,100%,Sacarose,85%,62%,"23,1%",0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3,4,2,4
68,RATO,15%,0%,65%,20%,100%,Sacarose,85%,16%,69%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3,1,2,4
69,RATO,15%,0%,65%,20%,100%,Sacarose,85%,17%,68%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3,3,2,4
70,RATO,10%,20%,50%,20%,100%,Trealose,"86,1%","70,9%","15,2%",20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,10,4,4,2,5
71,RATO,10%,20%,50%,20%,100%,Trealose,"79,90%","59,60%","20,3%",20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4,4,2,5
72,RATO,0%,20%,80%,0%,100%,x,"70,90%",0%,"70,9%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5,4,2,6
73,RATO,1%,20%,79%,0%,100%,x,"70,90%",0%,"70,9%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5,4,2,6
74,RATO,5%,20%,75%,0%,100%,x,"70,90%","15,33%","55,6%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5,4,2,6
75,RATO,"7,5%",20%,"72,5%",0%,100%,x,"70,90%","31,40%","39,5%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5,4,2,6
76,RATO,10%,20%,70%,0%,100%,x,"70,90%",58%,"12,9%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5,4,2,6
77,RATO,"12,5%",20%,"67,5%",0%,100%,x,"70,90%",62%,"8,9%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5,4,2,6
78,RATO,15%,20%,65%,0%,100%,x,"70,90%",63%,"7,9%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5,4,2,6
79,RATO,"17,5%",20%,"62,5%",0%,100%,x,"70,90%",61%,"9,9%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5,4,2,6
80,RATO,20%,20%,60%,0%,100%,x,"70,90%",58%,"12,9%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5,4,2,6
81,RATO,10%,0%,90%,0%,100%,x,"70,90%",62%,"8,9%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5,4,2,6
82,RATO,10%,10%,80%,0%,100%,x,"70,90%",65%,"5,9%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5,4,2,6
83,RATO,10%,20%,70%,0%,100%,x,"70,90%",70%,"0,9%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5,4,2,6
84,RATO,10%,50%,40%,0%,100%,x,"70,90%",70%,"0,9%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5,4,2,6
85,RATO,10%,90%,0%,0%,100%,x,"70,90%",70%,"0,9%",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5,4,2,6
86,RATO,10%,10%,80%,0%,100%,x,81%,38%,43%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,4,2,7
87,RATO,10%,10%,75%,5%,100%,Glicose,81%,44%,37%,0%,0%,0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,4,2,9
88,RATO,10%,10%,70%,10%,100%,Glicose,81%,52%,29%,0%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,4,2,9
89,RATO,10%,10%,60%,20%,100%,Glicose,81%,57%,24%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,4,2,9
90,RATO,10%,10%,75%,5%,100%,Maltose,81%,46%,35%,0%,0%,0%,0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,4,2,9
91,RATO,10%,10%,70%,10%,100%,Maltose,81%,58%,23%,0%,0%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,4,2,9
92,RATO,10%,10%,60%,20%,100%,Maltose,81%,41%,40%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,4,2,9
93,RATO,10%,10%,75%,5%,100%,Trealose,81%,54%,27%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,4,2,9
94,RATO,10%,10%,70%,10%,100%,Trealose,81%,60%,21%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,4,2,9
95,RATO,10%,10%,60%,20%,100%,Trealose,81%,46%,35%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,4,2,9
96,RATO,10%,10%,75%,5%,100%,Lactose,81%,54%,27%,0%,0%,0%,0%,0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,4,2,9
97,RATO,10%,10%,70%,10%,100%,Lactose,81%,57%,24%,0%,0%,0%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,4,2,9
98,RATO,10%,10%,60%,20%,100%,Lactose,81%,44%,37%,0%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,4,2,9
99,RATO,10%,10%,75%,5%,100%,Rafinose,81%,49%,32%,0%,0%,0%,0%,0%,0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,2,4,2,9
100,RATO,10%,10%,70%,10%,100%,Rafinose,81%,57%,24%,0%,0%,0%,0%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,0%,2,4,2,9
101,RATO,10%,10%,60%,20%,100%,Rafinose,81%,44%,37%,0%,0%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,2,4,2,9
102,RATO,10%,10%,75%,5%,100%,Maltotriose,81%,52%,29%,0%,0%,0%,0%,0%,0%,0%,5%,0%,0%,0%,0%,0%,0%,0%,2,4,2,9
103,RATO,10%,10%,70%,10%,100%,Maltotriose,81%,58%,23%,0%,0%,0%,0%,0%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,2,4,2,9
104,RATO,10%,10%,60%,20%,100%,Maltotriose,81%,46%,35%,0%,0%,0%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,2,4,2,9
105,RATO,10%,10%,75%,5%,100%,Maltotetraose,81%,44%,37%,0%,0%,0%,0%,0%,0%,0%,0%,5%,0%,0%,0%,0%,0%,0%,2,4,2,9
106,RATO,10%,10%,70%,10%,100%,Maltotetraose,81%,52%,29%,0%,0%,0%,0%,0%,0%,0%,0%,10%,0%,0%,0%,0%,0%,0%,2,4,2,9
107,RATO,10%,10%,75%,5%,100%,Maltopentaose,81%,55%,26%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5%,0%,0%,0%,0%,0%,2,4,2,9
108,RATO,10%,10%,70%,10%,100%,Maltopentaose,81%,59%,22%,0%,0%,0%,0%,0%,0%,0%,0%,0%,10%,0%,0%,0%,0%,0%,2,4,2,9
109,RATO,10%,10%,60%,20%,100%,Maltopentaose,81%,52%,29%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,2,4,2,9
110,RATO,10%,10%,75%,5%,100%,Maltohexaose,81%,58%,23%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5%,0%,0%,0%,0%,2,4,2,9
111,RATO,10%,10%,70%,10%,100%,Maltohexaose,81%,64%,17%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,10%,0%,0%,0%,0%,2,4,2,9
112,RATO,10%,10%,75%,5%,100%,Maltoheptaose,81%,59%,22%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5%,0%,0%,0%,2,4,2,9
113,RATO,10%,10%,70%,10%,100%,Maltoheptaose,81%,57%,24%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,10%,0%,0%,0%,2,4,2,9
114,RATO,10%,10%,75%,5%,100%,γ-Ciclodextrin,81%,22%,59%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5%,0%,0%,2,4,2,9
115,RATO,10%,10%,70%,10%,100%,γ-Ciclodextrin,81%,3%,78%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,10%,0%,0%,2,4,2,9
116,RATO,10%,10%,60%,20%,100%,γ-Ciclodextrin,81%,1%,80%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,0%,0%,2,4,2,9
117,RATO,10%,10%,77%,3%,100%,Dextran,81%,58%,23%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,2,4,2,9
